week,avg_tg,avg_pmv,avg_ppd
W27,23.2591045,0.02545016,10.5890139
W28,23.3059343,-0.0084129,10.4933398
W29,23.3625961,-0.0446342,11.2575828
W30,23.6583459,0.06245287,10.8174482
W31,23.5242149,0.06148733,10.6085403
W32,23.4860242,-0.1146575,10.6976683
W33,23.4686193,-0.2362767,10.4190045
W34,23.5634083,-0.221793,10.7763439
W35,23.2673145,-0.2343883,10.5643118
W36,23.594333,-0.1905589,10.5137315
W37,23.3310868,-0.2602639,10.7944055
W38,23.4571714,-0.1874518,10.5384111
W39,23.7306225,-0.1432786,10.4318375
